[0.018s] Invoking command in '/home/scv/SCV/build/usb_cam': CMAKE_PREFIX_PATH=/home/scv/SCV/install/hunter_base:/home/scv/SCV/install/hunter_msgs:/opt/ros/humble:/home/scv/SCV/install/ugv_sdk /usr/bin/cmake /home/scv/SCV/src/sensor_pkg/usb_cam -DCMAKE_INSTALL_PREFIX=/home/scv/SCV/install/usb_cam
[0.030s] -- Found ament_cmake_auto: 1.3.11 (/opt/ros/humble/share/ament_cmake_auto/cmake)
[0.157s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.284s] -- Found rosidl_generator_c: 3.1.6 (/opt/ros/humble/share/rosidl_generator_c/cmake)
[0.287s] -- Found rosidl_adapter: 3.1.6 (/opt/ros/humble/share/rosidl_adapter/cmake)
[0.293s] -- Found rosidl_generator_cpp: 3.1.6 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
[0.303s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.318s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[0.354s] -- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
[0.355s] -- Found rmw_fastrtps_cpp: 6.2.7 (/opt/ros/humble/share/rmw_fastrtps_cpp/cmake)
[0.450s] -- Using RMW implementation 'rmw_fastrtps_cpp' as default
[0.645s] -- Found ament_lint_auto: 0.12.12 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.651s] -- Found gtest sources under '/opt/ros/humble/src/gtest_vendor': C++ tests using 'Google Test' will be built
[0.663s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.665s] -- Added test 'cppcheck' to perform static code analysis on C / C++ code
[0.666s] -- Configured cppcheck include dirs: /home/scv/SCV/src/sensor_pkg/usb_cam/include
[0.666s] -- Configured cppcheck exclude dirs and/or files: 
[0.668s] -- Added test 'cpplint' to check C / C++ code against the Google style
[0.668s] -- Configured cpplint exclude dirs and/or files: 
[0.668s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.669s] -- Added test 'lint_cmake' to check CMake code style
[0.670s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.672s] -- Added test 'uncrustify' to check C / C++ code style
[0.672s] -- Configured uncrustify additional arguments: 
[0.673s] -- Added test 'xmllint' to check XML markup files
[0.675s] -- Configuring done
[0.707s] -- Generating done
[0.718s] -- Build files have been written to: /home/scv/SCV/build/usb_cam
[0.727s] Invoked command in '/home/scv/SCV/build/usb_cam' returned '0': CMAKE_PREFIX_PATH=/home/scv/SCV/install/hunter_base:/home/scv/SCV/install/hunter_msgs:/opt/ros/humble:/home/scv/SCV/install/ugv_sdk /usr/bin/cmake /home/scv/SCV/src/sensor_pkg/usb_cam -DCMAKE_INSTALL_PREFIX=/home/scv/SCV/install/usb_cam
[0.728s] Invoking command in '/home/scv/SCV/build/usb_cam': CMAKE_PREFIX_PATH=/home/scv/SCV/install/hunter_base:/home/scv/SCV/install/hunter_msgs:/opt/ros/humble:/home/scv/SCV/install/ugv_sdk /usr/bin/cmake --build /home/scv/SCV/build/usb_cam -- -j8 -l8
[0.768s] [35m[1mConsolidate compiler generated dependencies of target gtest_main[0m
[0.769s] [35m[1mConsolidate compiler generated dependencies of target usb_cam[0m
[0.769s] [35m[1mConsolidate compiler generated dependencies of target usb_cam_node_exe[0m
[0.769s] [35m[1mConsolidate compiler generated dependencies of target gtest[0m
[0.785s] [ 14%] Built target gtest_main
[0.785s] [ 42%] Built target usb_cam_node_exe
[0.785s] [ 42%] Built target usb_cam
[0.790s] [ 57%] Built target gtest
[0.801s] [35m[1mConsolidate compiler generated dependencies of target usb_cam_node[0m
[0.802s] [35m[1mConsolidate compiler generated dependencies of target test_pixel_formats[0m
[0.802s] [35m[1mConsolidate compiler generated dependencies of target test_usb_cam_utils[0m
[0.820s] [ 71%] Built target test_usb_cam_utils
[0.820s] [ 85%] Built target test_pixel_formats
[0.823s] [100%] Built target usb_cam_node
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/environment/path.sh
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/environment/path.dsv
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/local_setup.bash
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/local_setup.sh
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/local_setup.zsh
[0.850s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/local_setup.dsv
[0.850s] -- Symlinking: /home/scv/SCV/install/usb_cam/share/usb_cam/package.dsv
[0.858s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/ament_index/resource_index/packages/usb_cam
[0.858s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/ament_index/resource_index/rclcpp_components/usb_cam
[0.858s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/cmake/ament_cmake_export_libraries-extras.cmake
[0.859s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/cmake/ament_cmake_export_dependencies-extras.cmake
[0.860s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/cmake/ament_cmake_export_include_directories-extras.cmake
[0.860s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/cmake/usb_camConfig.cmake
[0.860s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/cmake/usb_camConfig-version.cmake
[0.860s] -- Up-to-date symlink: /home/scv/SCV/install/usb_cam/share/usb_cam/package.xml
[0.861s] Invoked command in '/home/scv/SCV/build/usb_cam' returned '0': CMAKE_PREFIX_PATH=/home/scv/SCV/install/hunter_base:/home/scv/SCV/install/hunter_msgs:/opt/ros/humble:/home/scv/SCV/install/ugv_sdk /usr/bin/cmake --install /home/scv/SCV/build/usb_cam
